date,keyword,ticker count
20220118,note,"[('MSFT', 4), ('ATVI', 3), ('SONY', 3), ('GOOG', 2), ('GOOGL', 2), ('FB', 2), ('AMZN', 2), ('AAPL', 2), ('ALEX', 2), ('EA', 2), ('NLOK', 2), ('TCEHY', 2), ('TCTZF', 2), ('SNEJF', 2), ('CRM', 1), ('FWAFX', 1), ('CDNS', 1), ('TSLA', 1), ('RY', 1), ('GS', 1), ('ZNGA', 1), ('TTWO', 1), ('SU', 1), ('CLR', 1), ('CHK', 1), ('SCHW', 1), ('BLK', 1), ('NUAN', 1), ('C', 1), ('TM', 1)]"
20220118,negotiation,"[('AAPL', 1), ('ERIC', 1), ('NYT', 1), ('GS', 1), ('TTWO', 1), ('FB', 1), ('ZNGA', 1), ('ATVI', 1), ('MSFT', 1)]"
20220118,drugmaker,"[('EVT.DE', 1), ('LLY', 1), ('GILD', 1)]"
20220118,release,"[('SNEJF', 2), ('SONY', 2), ('BLK', 1), ('BABA', 1), ('MSFT', 1), ('ALEX', 1), ('EA', 1), ('GS', 1), ('ATVI', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('ZNGA', 1), ('TTWO', 1), ('NFLX', 1), ('VIAC', 1), ('VIACA', 1), ('VIACP', 1)]"
20220118,SEC,"[('BABA', 1), ('MSFT', 1), ('GOOGL', 1), ('AMZN', 1)]"
20220118,Gmail,"[('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,pivot,"[('BLK', 1)]"
20220118,Bobby_Kotick,"[('ATVI', 4), ('ZNGA', 3), ('TTWO', 3), ('MSFT', 3), ('SNEJF', 2), ('SONY', 2), ('FB', 2), ('NLOK', 2), ('TCEHY', 2), ('TCTZF', 2), ('GS', 2), ('BABA', 1), ('PINS', 1), ('XRSMF', 1), ('AAPL', 1), ('AMZN', 1), ('GOOG', 1), ('GOOGL', 1), ('ALEX', 1), ('EA', 1), ('NYT', 1)]"
20220118,ownership,"[('MA', 1), ('COIN', 1), ('NUAN', 1), ('MSFT', 1), ('SNEJF', 1), ('SONY', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('AAPL', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('AMZN', 1), ('ALEX', 1), ('EA', 1), ('ATVI', 1)]"
20220118,Klobuchar-Grassley,"[('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,transistor,"[('CDNS', 1), ('TSLA', 1)]"
20220118,Edward_Jones,"[('BNS', 1), ('C', 1)]"
20220118,RBC_Capital_Markets,"[('RY', 1), ('CLR', 1), ('CHK', 1), ('BHP', 1)]"
20220118,place,"[('GS', 2), ('STLA.MI', 1), ('BAC', 1), ('BAC-PQ', 1), ('PFQAX', 1), ('WFC', 1), ('WFC-PD', 1), ('C', 1), ('PNC', 1), ('JPM', 1), ('JPM-PK', 1), ('JPM-PL', 1), ('JPM-PM', 1), ('XLF', 1), ('BLNK', 1), ('GM', 1), ('ABM', 1), ('PBR-A', 1), ('REPYY', 1), ('SCHW', 1), ('NYT', 1), ('TTWO', 1), ('FB', 1), ('ZNGA', 1), ('ATVI', 1), ('MSFT', 1)]"
20220118,exposure,"[('GOOG', 1), ('GOOGL', 1), ('CRM', 1), ('FB', 1), ('FWAFX', 1), ('AMZN', 1), ('AAPL', 1), ('MSFT', 1), ('BHP', 1), ('GLNCY', 1), ('FCX', 1)]"
20220118,push,"[('GOOG', 2), ('GOOGL', 2), ('FB', 2), ('AMZN', 2), ('AAPL', 2), ('CRM', 1), ('FWAFX', 1), ('MSFT', 1), ('SONO', 1), ('YELP', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,slump,"[('GS', 1), ('XOM', 1)]"
20220118,metric,"[('GSK', 1), ('UL', 1)]"
20220118,BHP,"[('BHP', 2), ('GLNCY', 1), ('FCX', 1)]"
20220118,pollution,"[('XOM', 1)]"
20220118,stretch,"[('TM', 1)]"
20220118,whistle,"[('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,Amazon,"[('AMZN', 4), ('GOOGL', 3), ('MSFT', 2), ('WMT', 2), ('AAPL', 2), ('FB', 2), ('ZNGA', 2), ('GOOG', 2), ('STLA.MI', 1), ('BABA', 1), ('KO', 1), ('PEP', 1), ('PINS', 1), ('XRSMF', 1), ('SNEJF', 1), ('SONY', 1), ('ATVI', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('TTWO', 1), ('EPGNF', 1), ('M', 1), ('PDVAX', 1), ('PDAAX', 1), ('PDICX', 1), ('PDIIX', 1), ('PDNIX', 1), ('PDVBX', 1), ('PDVDX', 1), ('PDVPX', 1), ('NKE', 1), ('BBY', 1), ('DKS', 1), ('UA', 1), ('UAA', 1), ('SONO', 1), ('YELP', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,searcher,"[('BAC', 1), ('BAC-PQ', 1), ('PFQAX', 1), ('WFC', 1), ('WFC-PD', 1), ('GS', 1), ('C', 1), ('PNC', 1), ('JPM', 1), ('JPM-PK', 1), ('JPM-PL', 1), ('JPM-PM', 1), ('XLF', 1)]"
20220118,airline_for_America,"[('EANAX', 1), ('VZ', 1), ('JBLU', 1), ('T', 1), ('AAL', 1), ('UAL', 1), ('BA', 1), ('FDX', 1)]"
20220118,execution,"[('WFC-PD', 1)]"
20220118,hiring,"[('BAC', 1), ('BAC-PQ', 1), ('PFQAX', 1), ('WFC', 1), ('WFC-PD', 1), ('GS', 1), ('C', 1), ('PNC', 1), ('JPM', 1), ('JPM-PK', 1), ('JPM-PL', 1), ('JPM-PM', 1), ('XLF', 1)]"
20220118,Lina_Khan,"[('NUAN', 1), ('MSFT', 1), ('SNEJF', 1), ('SONY', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('AAPL', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('AMZN', 1), ('ALEX', 1), ('EA', 1), ('ATVI', 1)]"
20220118,Microsoft_Xbox,"[('MSFT', 2), ('ATVI', 2), ('SONY', 2), ('ALEX', 1), ('EA', 1), ('GS', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('ZNGA', 1), ('SNEJF', 1), ('TTWO', 1)]"
20220118,Treasuries,"[('C', 1)]"
20220118,merger,"[('MSFT', 3), ('ATVI', 3), ('GSBD', 2), ('ALEX', 2), ('EA', 2), ('GS', 2), ('NLOK', 2), ('TCEHY', 2), ('TCTZF', 2), ('ZNGA', 2), ('SNEJF', 2), ('SONY', 2), ('TTWO', 2), ('FB', 2), ('STLA.MI', 1), ('BHP', 1), ('GLNCY', 1), ('FCX', 1), ('NUAN', 1), ('AAPL', 1), ('GOOG', 1), ('GOOGL', 1), ('AMZN', 1), ('NYT', 1)]"
20220118,gain,"[('GSBD', 4), ('STLA.MI', 1), ('SBUX', 1), ('ULCC', 1), ('XMTR', 1), ('AKA', 1), ('FWRG', 1), ('CNVY', 1), ('VECT', 1), ('PATH', 1), ('NRDS', 1), ('MLNK', 1), ('IPO', 1), ('DTC', 1), ('PRCT', 1), ('OMIC', 1), ('NVEI', 1), ('ESMT', 1), ('FDMT', 1), ('BHG', 1), ('EPGNF', 1), ('M', 1), ('PDVAX', 1), ('PDAAX', 1), ('PDICX', 1), ('PDIIX', 1), ('PDNIX', 1), ('PDVBX', 1), ('PDVDX', 1), ('PDVPX', 1), ('WMT', 1), ('NKE', 1), ('BBY', 1), ('DKS', 1), ('UA', 1), ('UAA', 1), ('F', 1), ('RIVN', 1), ('TM', 1)]"
20220118,privacy,"[('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,block,"[('BHP', 1), ('GLNCY', 1), ('FCX', 1)]"
20220118,attack,"[('BABA', 1), ('EPGNF', 1), ('M', 1), ('PDVAX', 1), ('PDAAX', 1), ('PDICX', 1), ('PDIIX', 1), ('PDNIX', 1), ('PDVBX', 1), ('PDVDX', 1), ('PDVPX', 1), ('WMT', 1), ('NKE', 1), ('BBY', 1), ('DKS', 1), ('UA', 1), ('UAA', 1), ('GS', 1), ('XOM', 1), ('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,flattening,"[('BLK', 1)]"
20220118,Ally,"[('SQ', 1)]"
20220118,ramp,"[('SU', 1)]"
20220118,Goldman_Sachs,"[('GSBD', 3), ('JPM', 2), ('JPM-PK', 2), ('JPM-PL', 2), ('JPM-PM', 2), ('BABA', 1), ('ATVI', 1), ('SQ', 1), ('BAC', 1), ('BAC-PQ', 1), ('PFQAX', 1), ('WFC', 1), ('WFC-PD', 1), ('GS', 1), ('C', 1), ('PNC', 1), ('XLF', 1), ('SCHW', 1)]"
20220118,Block,"[('SQ', 2), ('JPM', 1), ('JPM-PK', 1), ('JPM-PL', 1), ('JPM-PM', 1)]"
20220118,ticket,"[('MELI', 1), ('SNEJF', 1), ('SONY', 1), ('NFLX', 1), ('VIAC', 1), ('VIACA', 1), ('VIACP', 1)]"
20220118,hedge,"[('BLK', 1), ('XOM', 1), ('CVX', 1)]"
20220118,commission,"[('IBKR', 1), ('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('AAPL', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
